؀;0600;ARABIC NUMBER SIGN;
؁;0601;ARABIC SIGN SANAH;
؂;0602;ARABIC FOOTNOTE MARKER;
؃;0603;ARABIC SIGN SAFHA;
؄;0604;ARABIC SIGN SAMVAT;
؆;0606;ARABIC-INDIC CUBE ROOT;
؇;0607;ARABIC-INDIC FOURTH ROOT;
؈;0608;ARABIC RAY;
؉;0609;ARABIC-INDIC PER MILLE SIGN;
؊;060A;ARABIC-INDIC PER TEN THOUSAND SIGN;
؋;060B;AFGHANI SIGN;
،;060C;ARABIC COMMA;
؍;060D;ARABIC DATE SEPARATOR;
؎;060E;ARABIC POETIC VERSE SIGN;
؏;060F;ARABIC SIGN MISRA;
ؐ;0610;ARABIC SIGN SALLALLAHOU ALAYHE WASSALLAM;
ؑ;0611;ARABIC SIGN ALAYHE ASSALLAM;
ؒ;0612;ARABIC SIGN RAHMATULLAH ALAYHE;
ؓ;0613;ARABIC SIGN RADI ALLAHOU ANHU;
ؔ;0614;ARABIC SIGN TAKHALLUS;
ؕ;0615;ARABIC SMALL HIGH TAH;
ؖ;0616;ARABIC SMALL HIGH LIGATURE ALEF WITH LAM WITH YEH;
ؗ;0617;ARABIC SMALL HIGH ZAIN;
ؘ;0618;ARABIC SMALL FATHA;
ؙ;0619;ARABIC SMALL DAMMA;
ؚ;061A;ARABIC SMALL KASRA;
؛;061B;ARABIC SEMICOLON;
؜;061C;ARABIC LETTER MARK;
؞;061E;ARABIC TRIPLE DOT PUNCTUATION MARK;
؟;061F;ARABIC QUESTION MARK;
ؠ;0620;ARABIC LETTER KASHMIRI YEH;
ء;0621;ARABIC LETTER HAMZA;
آ;0622;ARABIC LETTER ALEF WITH MADDA ABOVE;
أ;0623;ARABIC LETTER ALEF WITH HAMZA ABOVE;
ؤ;0624;ARABIC LETTER WAW WITH HAMZA ABOVE;
إ;0625;ARABIC LETTER ALEF WITH HAMZA BELOW;
ئ;0626;ARABIC LETTER YEH WITH HAMZA ABOVE;
ا;0627;ARABIC LETTER ALEF;
ب;0628;ARABIC LETTER BEH;
ة;0629;ARABIC LETTER TEH MARBUTA;
ت;062A;ARABIC LETTER TEH;
ث;062B;ARABIC LETTER THEH;
ج;062C;ARABIC LETTER JEEM;
ح;062D;ARABIC LETTER HAH;
خ;062E;ARABIC LETTER KHAH;
د;062F;ARABIC LETTER DAL;
ذ;0630;ARABIC LETTER THAL;
ر;0631;ARABIC LETTER REH;
ز;0632;ARABIC LETTER ZAIN;
س;0633;ARABIC LETTER SEEN;
ش;0634;ARABIC LETTER SHEEN;
ص;0635;ARABIC LETTER SAD;
ض;0636;ARABIC LETTER DAD;
ط;0637;ARABIC LETTER TAH;
ظ;0638;ARABIC LETTER ZAH;
ع;0639;ARABIC LETTER AIN;
غ;063A;ARABIC LETTER GHAIN;
ػ;063B;ARABIC LETTER KEHEH WITH TWO DOTS ABOVE;
ؼ;063C;ARABIC LETTER KEHEH WITH THREE DOTS BELOW;
ؽ;063D;ARABIC LETTER FARSI YEH WITH INVERTED V;
ؾ;063E;ARABIC LETTER FARSI YEH WITH TWO DOTS ABOVE;
ؿ;063F;ARABIC LETTER FARSI YEH WITH THREE DOTS ABOVE;
ـ;0640;ARABIC TATWEEL;
ف;0641;ARABIC LETTER FEH;
ق;0642;ARABIC LETTER QAF;
ك;0643;ARABIC LETTER KAF;
ل;0644;ARABIC LETTER LAM;
م;0645;ARABIC LETTER MEEM;
ن;0646;ARABIC LETTER NOON;
ه;0647;ARABIC LETTER HEH;
و;0648;ARABIC LETTER WAW;
ى;0649;ARABIC LETTER ALEF MAKSURA;
ي;064A;ARABIC LETTER YEH;
ً;064B;ARABIC FATHATAN;
ٌ;064C;ARABIC DAMMATAN;
ٍ;064D;ARABIC KASRATAN;
َ;064E;ARABIC FATHA;
ُ;064F;ARABIC DAMMA;
ِ;0650;ARABIC KASRA;
ّ;0651;ARABIC SHADDA;
ْ;0652;ARABIC SUKUN;
ٓ;0653;ARABIC MADDAH ABOVE;
ٔ;0654;ARABIC HAMZA ABOVE;
ٕ;0655;ARABIC HAMZA BELOW;
ٖ;0656;ARABIC SUBSCRIPT ALEF;
ٗ;0657;ARABIC INVERTED DAMMA;
٘;0658;ARABIC MARK NOON GHUNNA;
ٙ;0659;ARABIC ZWARAKAY;
ٚ;065A;ARABIC VOWEL SIGN SMALL V ABOVE;
ٛ;065B;ARABIC VOWEL SIGN INVERTED SMALL V ABOVE;
ٜ;065C;ARABIC VOWEL SIGN DOT BELOW;
ٝ;065D;ARABIC REVERSED DAMMA;
ٞ;065E;ARABIC FATHA WITH TWO DOTS;
ٟ;065F;ARABIC WAVY HAMZA BELOW;
٠;0660;ARABIC-INDIC DIGIT ZERO;
١;0661;ARABIC-INDIC DIGIT ONE;
٢;0662;ARABIC-INDIC DIGIT TWO;
٣;0663;ARABIC-INDIC DIGIT THREE;
٤;0664;ARABIC-INDIC DIGIT FOUR;
٥;0665;ARABIC-INDIC DIGIT FIVE;
٦;0666;ARABIC-INDIC DIGIT SIX;
٧;0667;ARABIC-INDIC DIGIT SEVEN;
٨;0668;ARABIC-INDIC DIGIT EIGHT;
٩;0669;ARABIC-INDIC DIGIT NINE;
٪;066A;ARABIC PERCENT SIGN;
٫;066B;ARABIC DECIMAL SEPARATOR;
٬;066C;ARABIC THOUSANDS SEPARATOR;
٭;066D;ARABIC FIVE POINTED STAR;
ٮ;066E;ARABIC LETTER DOTLESS BEH;
ٯ;066F;ARABIC LETTER DOTLESS QAF;
ٰ;0670;ARABIC LETTER SUPERSCRIPT ALEF;
ٱ;0671;ARABIC LETTER ALEF WASLA;
ٲ;0672;ARABIC LETTER ALEF WITH WAVY HAMZA ABOVE;
