Ա;0531;ARMENIAN CAPITAL LETTER AYB;
Բ;0532;ARMENIAN CAPITAL LETTER BEN;
Գ;0533;ARMENIAN CAPITAL LETTER GIM;
Դ;0534;ARMENIAN CAPITAL LETTER DA;
Ե;0535;ARMENIAN CAPITAL LETTER ECH;
Զ;0536;ARMENIAN CAPITAL LETTER ZA;
Է;0537;ARMENIAN CAPITAL LETTER EH;
Ը;0538;ARMENIAN CAPITAL LETTER ET;
Թ;0539;ARMENIAN CAPITAL LETTER TO;
Ժ;053A;ARMENIAN CAPITAL LETTER ZHE;
Ի;053B;ARMENIAN CAPITAL LETTER INI;
Լ;053C;ARMENIAN CAPITAL LETTER LIWN;
Խ;053D;ARMENIAN CAPITAL LETTER XEH;
Ծ;053E;ARMENIAN CAPITAL LETTER CA;
Կ;053F;ARMENIAN CAPITAL LETTER KEN;
Հ;0540;ARMENIAN CAPITAL LETTER HO;
Ձ;0541;ARMENIAN CAPITAL LETTER JA;
Ղ;0542;ARMENIAN CAPITAL LETTER GHAD;
Ճ;0543;ARMENIAN CAPITAL LETTER CHEH;
Մ;0544;ARMENIAN CAPITAL LETTER MEN;
Յ;0545;ARMENIAN CAPITAL LETTER YI;
Ն;0546;ARMENIAN CAPITAL LETTER NOW;
Շ;0547;ARMENIAN CAPITAL LETTER SHA;
Ո;0548;ARMENIAN CAPITAL LETTER VO;
Չ;0549;ARMENIAN CAPITAL LETTER CHA;
Պ;054A;ARMENIAN CAPITAL LETTER PEH;
Ջ;054B;ARMENIAN CAPITAL LETTER JHEH;
Ռ;054C;ARMENIAN CAPITAL LETTER RA;
Ս;054D;ARMENIAN CAPITAL LETTER SEH;
Վ;054E;ARMENIAN CAPITAL LETTER VEW;
Տ;054F;ARMENIAN CAPITAL LETTER TIWN;
Ր;0550;ARMENIAN CAPITAL LETTER REH;
Ց;0551;ARMENIAN CAPITAL LETTER CO;
Ւ;0552;ARMENIAN CAPITAL LETTER YIWN;
Փ;0553;ARMENIAN CAPITAL LETTER PIWR;
Ք;0554;ARMENIAN CAPITAL LETTER KEH;
Օ;0555;ARMENIAN CAPITAL LETTER OH;
Ֆ;0556;ARMENIAN CAPITAL LETTER FEH;
ՙ;0559;ARMENIAN MODIFIER LETTER LEFT HALF RING;
՚;055A;ARMENIAN APOSTROPHE;
՛;055B;ARMENIAN EMPHASIS MARK;
՜;055C;ARMENIAN EXCLAMATION MARK;
՝;055D;ARMENIAN COMMA;
՞;055E;ARMENIAN QUESTION MARK;
՟;055F;ARMENIAN ABBREVIATION MARK;
ա;0561;ARMENIAN SMALL LETTER AYB;
բ;0562;ARMENIAN SMALL LETTER BEN;
գ;0563;ARMENIAN SMALL LETTER GIM;
դ;0564;ARMENIAN SMALL LETTER DA;
ե;0565;ARMENIAN SMALL LETTER ECH;
զ;0566;ARMENIAN SMALL LETTER ZA;
է;0567;ARMENIAN SMALL LETTER EH;
ը;0568;ARMENIAN SMALL LETTER ET;
թ;0569;ARMENIAN SMALL LETTER TO;
ժ;056A;ARMENIAN SMALL LETTER ZHE;
ի;056B;ARMENIAN SMALL LETTER INI;
լ;056C;ARMENIAN SMALL LETTER LIWN;
խ;056D;ARMENIAN SMALL LETTER XEH;
ծ;056E;ARMENIAN SMALL LETTER CA;
կ;056F;ARMENIAN SMALL LETTER KEN;
հ;0570;ARMENIAN SMALL LETTER HO;
ձ;0571;ARMENIAN SMALL LETTER JA;
ղ;0572;ARMENIAN SMALL LETTER GHAD;
ճ;0573;ARMENIAN SMALL LETTER CHEH;
մ;0574;ARMENIAN SMALL LETTER MEN;
յ;0575;ARMENIAN SMALL LETTER YI;
ն;0576;ARMENIAN SMALL LETTER NOW;
շ;0577;ARMENIAN SMALL LETTER SHA;
ո;0578;ARMENIAN SMALL LETTER VO;
չ;0579;ARMENIAN SMALL LETTER CHA;
պ;057A;ARMENIAN SMALL LETTER PEH;
ջ;057B;ARMENIAN SMALL LETTER JHEH;
ռ;057C;ARMENIAN SMALL LETTER RA;
ս;057D;ARMENIAN SMALL LETTER SEH;
վ;057E;ARMENIAN SMALL LETTER VEW;
տ;057F;ARMENIAN SMALL LETTER TIWN;
ր;0580;ARMENIAN SMALL LETTER REH;
ց;0581;ARMENIAN SMALL LETTER CO;
ւ;0582;ARMENIAN SMALL LETTER YIWN;
փ;0583;ARMENIAN SMALL LETTER PIWR;
ք;0584;ARMENIAN SMALL LETTER KEH;
օ;0585;ARMENIAN SMALL LETTER OH;
ֆ;0586;ARMENIAN SMALL LETTER FEH;
և;0587;ARMENIAN SMALL LIGATURE ECH YIWN;
։;0589;ARMENIAN FULL STOP;
֊;058A;ARMENIAN HYPHEN;
֏;058F;ARMENIAN DRAM SIGN;
ﬓ;FB13;ARMENIAN SMALL LIGATURE MEN NOW;
ﬔ;FB14;ARMENIAN SMALL LIGATURE MEN ECH;
ﬕ;FB15;ARMENIAN SMALL LIGATURE MEN INI;
ﬖ;FB16;ARMENIAN SMALL LIGATURE VEW NOW;
ﬗ;FB17;ARMENIAN SMALL LIGATURE MEN XEH;
