𒀀;12000;CUNEIFORM SIGN A;
𒀁;12001;CUNEIFORM SIGN A TIMES A;
𒀂;12002;CUNEIFORM SIGN A TIMES BAD;
𒀃;12003;CUNEIFORM SIGN A TIMES GAN2 TENU;
𒀄;12004;CUNEIFORM SIGN A TIMES HA;
𒀅;12005;CUNEIFORM SIGN A TIMES IGI;
𒀆;12006;CUNEIFORM SIGN A TIMES LAGAR GUNU;
𒀇;12007;CUNEIFORM SIGN A TIMES MUSH;
𒀈;12008;CUNEIFORM SIGN A TIMES SAG;
𒀉;12009;CUNEIFORM SIGN A2;
𒀊;1200A;CUNEIFORM SIGN AB;
𒀋;1200B;CUNEIFORM SIGN AB TIMES ASH2;
𒀌;1200C;CUNEIFORM SIGN AB TIMES DUN3 GUNU;
𒀍;1200D;CUNEIFORM SIGN AB TIMES GAL;
𒀎;1200E;CUNEIFORM SIGN AB TIMES GAN2 TENU;
𒀏;1200F;CUNEIFORM SIGN AB TIMES HA;
𒀐;12010;CUNEIFORM SIGN AB TIMES IGI GUNU;
𒀑;12011;CUNEIFORM SIGN AB TIMES IMIN;
𒀒;12012;CUNEIFORM SIGN AB TIMES LAGAB;
𒀓;12013;CUNEIFORM SIGN AB TIMES SHESH;
𒀔;12014;CUNEIFORM SIGN AB TIMES U PLUS U PLUS U;
𒀕;12015;CUNEIFORM SIGN AB GUNU;
𒀖;12016;CUNEIFORM SIGN AB2;
𒀗;12017;CUNEIFORM SIGN AB2 TIMES BALAG;
𒀘;12018;CUNEIFORM SIGN AB2 TIMES GAN2 TENU;
𒀙;12019;CUNEIFORM SIGN AB2 TIMES ME PLUS EN;
𒀚;1201A;CUNEIFORM SIGN AB2 TIMES SHA3;
𒀛;1201B;CUNEIFORM SIGN AB2 TIMES TAK4;
𒀜;1201C;CUNEIFORM SIGN AD;
𒀝;1201D;CUNEIFORM SIGN AK;
𒀞;1201E;CUNEIFORM SIGN AK TIMES ERIN2;
𒀟;1201F;CUNEIFORM SIGN AK TIMES SHITA PLUS GISH;
𒀠;12020;CUNEIFORM SIGN AL;
𒀡;12021;CUNEIFORM SIGN AL TIMES AL;
𒀢;12022;CUNEIFORM SIGN AL TIMES DIM2;
𒀣;12023;CUNEIFORM SIGN AL TIMES GISH;
𒀤;12024;CUNEIFORM SIGN AL TIMES HA;
𒀥;12025;CUNEIFORM SIGN AL TIMES KAD3;
𒀦;12026;CUNEIFORM SIGN AL TIMES KI;
𒀧;12027;CUNEIFORM SIGN AL TIMES SHE;
𒀨;12028;CUNEIFORM SIGN AL TIMES USH;
𒀩;12029;CUNEIFORM SIGN ALAN;
𒀪;1202A;CUNEIFORM SIGN ALEPH;
𒀫;1202B;CUNEIFORM SIGN AMAR;
𒀬;1202C;CUNEIFORM SIGN AMAR TIMES SHE;
𒀭;1202D;CUNEIFORM SIGN AN;
𒀮;1202E;CUNEIFORM SIGN AN OVER AN;
𒀯;1202F;CUNEIFORM SIGN AN THREE TIMES;
𒀰;12030;CUNEIFORM SIGN AN PLUS NAGA OPPOSING AN PLUS NAGA;
𒀱;12031;CUNEIFORM SIGN AN PLUS NAGA SQUARED;
𒀲;12032;CUNEIFORM SIGN ANSHE;
𒀳;12033;CUNEIFORM SIGN APIN;
𒀴;12034;CUNEIFORM SIGN ARAD;
𒀵;12035;CUNEIFORM SIGN ARAD TIMES KUR;
𒀶;12036;CUNEIFORM SIGN ARKAB;
𒀷;12037;CUNEIFORM SIGN ASAL2;
𒀸;12038;CUNEIFORM SIGN ASH;
𒀹;12039;CUNEIFORM SIGN ASH ZIDA TENU;
𒀺;1203A;CUNEIFORM SIGN ASH KABA TENU;
𒀻;1203B;CUNEIFORM SIGN ASH OVER ASH TUG2 OVER TUG2 TUG2 OVER TUG2 PAP;
𒀼;1203C;CUNEIFORM SIGN ASH OVER ASH OVER ASH;
𒀽;1203D;CUNEIFORM SIGN ASH OVER ASH OVER ASH CROSSING ASH OVER ASH OVER ASH;
𒀾;1203E;CUNEIFORM SIGN ASH2;
