🀰;1F030;DOMINO TILE HORIZONTAL BACK;
🀱;1F031;DOMINO TILE HORIZONTAL-00-00;
🀲;1F032;DOMINO TILE HORIZONTAL-00-01;
🀳;1F033;DOMINO TILE HORIZONTAL-00-02;
🀴;1F034;DOMINO TILE HORIZONTAL-00-03;
🀵;1F035;DOMINO TILE HORIZONTAL-00-04;
🀶;1F036;DOMINO TILE HORIZONTAL-00-05;
🀷;1F037;DOMINO TILE HORIZONTAL-00-06;
🀸;1F038;DOMINO TILE HORIZONTAL-01-00;
🀹;1F039;DOMINO TILE HORIZONTAL-01-01;
🀺;1F03A;DOMINO TILE HORIZONTAL-01-02;
🀻;1F03B;DOMINO TILE HORIZONTAL-01-03;
🀼;1F03C;DOMINO TILE HORIZONTAL-01-04;
🀽;1F03D;DOMINO TILE HORIZONTAL-01-05;
🀾;1F03E;DOMINO TILE HORIZONTAL-01-06;
🀿;1F03F;DOMINO TILE HORIZONTAL-02-00;
🁀;1F040;DOMINO TILE HORIZONTAL-02-01;
🁁;1F041;DOMINO TILE HORIZONTAL-02-02;
🁂;1F042;DOMINO TILE HORIZONTAL-02-03;
🁃;1F043;DOMINO TILE HORIZONTAL-02-04;
🁄;1F044;DOMINO TILE HORIZONTAL-02-05;
🁅;1F045;DOMINO TILE HORIZONTAL-02-06;
🁆;1F046;DOMINO TILE HORIZONTAL-03-00;
🁇;1F047;DOMINO TILE HORIZONTAL-03-01;
🁈;1F048;DOMINO TILE HORIZONTAL-03-02;
🁉;1F049;DOMINO TILE HORIZONTAL-03-03;
🁊;1F04A;DOMINO TILE HORIZONTAL-03-04;
🁋;1F04B;DOMINO TILE HORIZONTAL-03-05;
🁌;1F04C;DOMINO TILE HORIZONTAL-03-06;
🁍;1F04D;DOMINO TILE HORIZONTAL-04-00;
🁎;1F04E;DOMINO TILE HORIZONTAL-04-01;
🁏;1F04F;DOMINO TILE HORIZONTAL-04-02;
🁐;1F050;DOMINO TILE HORIZONTAL-04-03;
🁑;1F051;DOMINO TILE HORIZONTAL-04-04;
🁒;1F052;DOMINO TILE HORIZONTAL-04-05;
🁓;1F053;DOMINO TILE HORIZONTAL-04-06;
🁔;1F054;DOMINO TILE HORIZONTAL-05-00;
🁕;1F055;DOMINO TILE HORIZONTAL-05-01;
🁖;1F056;DOMINO TILE HORIZONTAL-05-02;
🁗;1F057;DOMINO TILE HORIZONTAL-05-03;
🁘;1F058;DOMINO TILE HORIZONTAL-05-04;
🁙;1F059;DOMINO TILE HORIZONTAL-05-05;
🁚;1F05A;DOMINO TILE HORIZONTAL-05-06;
🁛;1F05B;DOMINO TILE HORIZONTAL-06-00;
🁜;1F05C;DOMINO TILE HORIZONTAL-06-01;
🁝;1F05D;DOMINO TILE HORIZONTAL-06-02;
🁞;1F05E;DOMINO TILE HORIZONTAL-06-03;
🁟;1F05F;DOMINO TILE HORIZONTAL-06-04;
🁠;1F060;DOMINO TILE HORIZONTAL-06-05;
🁡;1F061;DOMINO TILE HORIZONTAL-06-06;
🁢;1F062;DOMINO TILE VERTICAL BACK;
🁣;1F063;DOMINO TILE VERTICAL-00-00;
🁤;1F064;DOMINO TILE VERTICAL-00-01;
🁥;1F065;DOMINO TILE VERTICAL-00-02;
🁦;1F066;DOMINO TILE VERTICAL-00-03;
🁧;1F067;DOMINO TILE VERTICAL-00-04;
🁨;1F068;DOMINO TILE VERTICAL-00-05;
🁩;1F069;DOMINO TILE VERTICAL-00-06;
🁪;1F06A;DOMINO TILE VERTICAL-01-00;
🁫;1F06B;DOMINO TILE VERTICAL-01-01;
🁬;1F06C;DOMINO TILE VERTICAL-01-02;
🁭;1F06D;DOMINO TILE VERTICAL-01-03;
🁮;1F06E;DOMINO TILE VERTICAL-01-04;
🁯;1F06F;DOMINO TILE VERTICAL-01-05;
🁰;1F070;DOMINO TILE VERTICAL-01-06;
🁱;1F071;DOMINO TILE VERTICAL-02-00;
🁲;1F072;DOMINO TILE VERTICAL-02-01;
🁳;1F073;DOMINO TILE VERTICAL-02-02;
🁴;1F074;DOMINO TILE VERTICAL-02-03;
🁵;1F075;DOMINO TILE VERTICAL-02-04;
🁶;1F076;DOMINO TILE VERTICAL-02-05;
🁷;1F077;DOMINO TILE VERTICAL-02-06;
🁸;1F078;DOMINO TILE VERTICAL-03-00;
