Ͱ;0370;GREEK CAPITAL LETTER HETA;
ͱ;0371;GREEK SMALL LETTER HETA;
Ͳ;0372;GREEK CAPITAL LETTER ARCHAIC SAMPI;
ͳ;0373;GREEK SMALL LETTER ARCHAIC SAMPI;
ʹ;0374;GREEK NUMERAL SIGN;
͵;0375;GREEK LOWER NUMERAL SIGN;
Ͷ;0376;GREEK CAPITAL LETTER PAMPHYLIAN DIGAMMA;
ͷ;0377;GREEK SMALL LETTER PAMPHYLIAN DIGAMMA;
ͺ;037A;GREEK YPOGEGRAMMENI;
ͻ;037B;GREEK SMALL REVERSED LUNATE SIGMA SYMBOL;
ͼ;037C;GREEK SMALL DOTTED LUNATE SIGMA SYMBOL;
ͽ;037D;GREEK SMALL REVERSED DOTTED LUNATE SIGMA SYMBOL;
;;037E;GREEK QUESTION MARK;
΄;0384;GREEK TONOS;
΅;0385;GREEK DIALYTIKA TONOS;
Ά;0386;GREEK CAPITAL LETTER ALPHA WITH TONOS;
·;0387;GREEK ANO TELEIA;
Έ;0388;GREEK CAPITAL LETTER EPSILON WITH TONOS;
Ή;0389;GREEK CAPITAL LETTER ETA WITH TONOS;
Ί;038A;GREEK CAPITAL LETTER IOTA WITH TONOS;
Ό;038C;GREEK CAPITAL LETTER OMICRON WITH TONOS;
Ύ;038E;GREEK CAPITAL LETTER UPSILON WITH TONOS;
Ώ;038F;GREEK CAPITAL LETTER OMEGA WITH TONOS;
ΐ;0390;GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS;
Α;0391;GREEK CAPITAL LETTER ALPHA;
Β;0392;GREEK CAPITAL LETTER BETA;
Γ;0393;GREEK CAPITAL LETTER GAMMA;
Δ;0394;GREEK CAPITAL LETTER DELTA;
Ε;0395;GREEK CAPITAL LETTER EPSILON;
Ζ;0396;GREEK CAPITAL LETTER ZETA;
Η;0397;GREEK CAPITAL LETTER ETA;
Θ;0398;GREEK CAPITAL LETTER THETA;
Ι;0399;GREEK CAPITAL LETTER IOTA;
Κ;039A;GREEK CAPITAL LETTER KAPPA;
Λ;039B;GREEK CAPITAL LETTER LAMDA;
Μ;039C;GREEK CAPITAL LETTER MU;
Ν;039D;GREEK CAPITAL LETTER NU;
Ξ;039E;GREEK CAPITAL LETTER XI;
Ο;039F;GREEK CAPITAL LETTER OMICRON;
Π;03A0;GREEK CAPITAL LETTER PI;
Ρ;03A1;GREEK CAPITAL LETTER RHO;
Σ;03A3;GREEK CAPITAL LETTER SIGMA;
Τ;03A4;GREEK CAPITAL LETTER TAU;
Υ;03A5;GREEK CAPITAL LETTER UPSILON;
Φ;03A6;GREEK CAPITAL LETTER PHI;
Χ;03A7;GREEK CAPITAL LETTER CHI;
Ψ;03A8;GREEK CAPITAL LETTER PSI;
Ω;03A9;GREEK CAPITAL LETTER OMEGA;
Ϊ;03AA;GREEK CAPITAL LETTER IOTA WITH DIALYTIKA;
Ϋ;03AB;GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA;
ά;03AC;GREEK SMALL LETTER ALPHA WITH TONOS;
έ;03AD;GREEK SMALL LETTER EPSILON WITH TONOS;
ή;03AE;GREEK SMALL LETTER ETA WITH TONOS;
ί;03AF;GREEK SMALL LETTER IOTA WITH TONOS;
ΰ;03B0;GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS;
α;03B1;GREEK SMALL LETTER ALPHA;
β;03B2;GREEK SMALL LETTER BETA;
γ;03B3;GREEK SMALL LETTER GAMMA;
δ;03B4;GREEK SMALL LETTER DELTA;
ε;03B5;GREEK SMALL LETTER EPSILON;
ζ;03B6;GREEK SMALL LETTER ZETA;
η;03B7;GREEK SMALL LETTER ETA;
θ;03B8;GREEK SMALL LETTER THETA;
ι;03B9;GREEK SMALL LETTER IOTA;
κ;03BA;GREEK SMALL LETTER KAPPA;
λ;03BB;GREEK SMALL LETTER LAMDA;
μ;03BC;GREEK SMALL LETTER MU;
ν;03BD;GREEK SMALL LETTER NU;
ξ;03BE;GREEK SMALL LETTER XI;
ο;03BF;GREEK SMALL LETTER OMICRON;
π;03C0;GREEK SMALL LETTER PI;
ρ;03C1;GREEK SMALL LETTER RHO;
ς;03C2;GREEK SMALL LETTER FINAL SIGMA;
σ;03C3;GREEK SMALL LETTER SIGMA;
τ;03C4;GREEK SMALL LETTER TAU;
υ;03C5;GREEK SMALL LETTER UPSILON;
φ;03C6;GREEK SMALL LETTER PHI;
χ;03C7;GREEK SMALL LETTER CHI;
ψ;03C8;GREEK SMALL LETTER PSI;
ω;03C9;GREEK SMALL LETTER OMEGA;
ϊ;03CA;GREEK SMALL LETTER IOTA WITH DIALYTIKA;
ϋ;03CB;GREEK SMALL LETTER UPSILON WITH DIALYTIKA;
ό;03CC;GREEK SMALL LETTER OMICRON WITH TONOS;
ύ;03CD;GREEK SMALL LETTER UPSILON WITH TONOS;
ώ;03CE;GREEK SMALL LETTER OMEGA WITH TONOS;
Ϗ;03CF;GREEK CAPITAL KAI SYMBOL;
ϐ;03D0;GREEK BETA SYMBOL;
ϑ;03D1;GREEK THETA SYMBOL;
ϒ;03D2;GREEK UPSILON WITH HOOK SYMBOL;
ϓ;03D3;GREEK UPSILON WITH ACUTE AND HOOK SYMBOL;
ϔ;03D4;GREEK UPSILON WITH DIAERESIS AND HOOK SYMBOL;
ϕ;03D5;GREEK PHI SYMBOL;
ϖ;03D6;GREEK PI SYMBOL;
ϗ;03D7;GREEK KAI SYMBOL;
Ϙ;03D8;GREEK LETTER ARCHAIC KOPPA;
ϙ;03D9;GREEK SMALL LETTER ARCHAIC KOPPA;
Ϛ;03DA;GREEK LETTER STIGMA;
ϛ;03DB;GREEK SMALL LETTER STIGMA;
Ϝ;03DC;GREEK LETTER DIGAMMA;
ϝ;03DD;GREEK SMALL LETTER DIGAMMA;
Ϟ;03DE;GREEK LETTER KOPPA;
ϟ;03DF;GREEK SMALL LETTER KOPPA;
Ϡ;03E0;GREEK LETTER SAMPI;
ϡ;03E1;GREEK SMALL LETTER SAMPI;
Ϣ;03E2;COPTIC CAPITAL LETTER SHEI;
ϣ;03E3;COPTIC SMALL LETTER SHEI;
Ϥ;03E4;COPTIC CAPITAL LETTER FEI;
ϥ;03E5;COPTIC SMALL LETTER FEI;
Ϧ;03E6;COPTIC CAPITAL LETTER KHEI;
ϧ;03E7;COPTIC SMALL LETTER KHEI;
Ϩ;03E8;COPTIC CAPITAL LETTER HORI;
ϩ;03E9;COPTIC SMALL LETTER HORI;
Ϫ;03EA;COPTIC CAPITAL LETTER GANGIA;
ϫ;03EB;COPTIC SMALL LETTER GANGIA;
Ϭ;03EC;COPTIC CAPITAL LETTER SHIMA;
ϭ;03ED;COPTIC SMALL LETTER SHIMA;
Ϯ;03EE;COPTIC CAPITAL LETTER DEI;
ϯ;03EF;COPTIC SMALL LETTER DEI;
ϰ;03F0;GREEK KAPPA SYMBOL;
ϱ;03F1;GREEK RHO SYMBOL;
ϲ;03F2;GREEK LUNATE SIGMA SYMBOL;
ϳ;03F3;GREEK LETTER YOT;
ϴ;03F4;GREEK CAPITAL THETA SYMBOL;
ϵ;03F5;GREEK LUNATE EPSILON SYMBOL;
϶;03F6;GREEK REVERSED LUNATE EPSILON SYMBOL;
Ϸ;03F7;GREEK CAPITAL LETTER SHO;
ϸ;03F8;GREEK SMALL LETTER SHO;
Ϲ;03F9;GREEK CAPITAL LUNATE SIGMA SYMBOL;
Ϻ;03FA;GREEK CAPITAL LETTER SAN;
ϻ;03FB;GREEK SMALL LETTER SAN;
ϼ;03FC;GREEK RHO WITH STROKE SYMBOL;
Ͻ;03FD;GREEK CAPITAL REVERSED LUNATE SIGMA SYMBOL;
Ͼ;03FE;GREEK CAPITAL DOTTED LUNATE SIGMA SYMBOL;
Ͽ;03FF;GREEK CAPITAL REVERSED DOTTED LUNATE SIGMA SYMBOL;
