֑;0591;HEBREW ACCENT ETNAHTA;
֒;0592;HEBREW ACCENT SEGOL;
֓;0593;HEBREW ACCENT SHALSHELET;
֔;0594;HEBREW ACCENT ZAQEF QATAN;
֕;0595;HEBREW ACCENT ZAQEF GADOL;
֖;0596;HEBREW ACCENT TIPEHA;
֗;0597;HEBREW ACCENT REVIA;
֘;0598;HEBREW ACCENT ZARQA;
֙;0599;HEBREW ACCENT PASHTA;
֚;059A;HEBREW ACCENT YETIV;
֛;059B;HEBREW ACCENT TEVIR;
֜;059C;HEBREW ACCENT GERESH;
֝;059D;HEBREW ACCENT GERESH MUQDAM;
֞;059E;HEBREW ACCENT GERSHAYIM;
֟;059F;HEBREW ACCENT QARNEY PARA;
֠;05A0;HEBREW ACCENT TELISHA GEDOLA;
֡;05A1;HEBREW ACCENT PAZER;
֢;05A2;HEBREW ACCENT ATNAH HAFUKH;
֣;05A3;HEBREW ACCENT MUNAH;
֤;05A4;HEBREW ACCENT MAHAPAKH;
֥;05A5;HEBREW ACCENT MERKHA;
֦;05A6;HEBREW ACCENT MERKHA KEFULA;
֧;05A7;HEBREW ACCENT DARGA;
֨;05A8;HEBREW ACCENT QADMA;
֩;05A9;HEBREW ACCENT TELISHA QETANA;
֪;05AA;HEBREW ACCENT YERAH BEN YOMO;
֫;05AB;HEBREW ACCENT OLE;
֬;05AC;HEBREW ACCENT ILUY;
֭;05AD;HEBREW ACCENT DEHI;
֮;05AE;HEBREW ACCENT ZINOR;
֯;05AF;HEBREW MARK MASORA CIRCLE;
ְ;05B0;HEBREW POINT SHEVA;
ֱ;05B1;HEBREW POINT HATAF SEGOL;
ֲ;05B2;HEBREW POINT HATAF PATAH;
ֳ;05B3;HEBREW POINT HATAF QAMATS;
ִ;05B4;HEBREW POINT HIRIQ;
ֵ;05B5;HEBREW POINT TSERE;
ֶ;05B6;HEBREW POINT SEGOL;
ַ;05B7;HEBREW POINT PATAH;
ָ;05B8;HEBREW POINT QAMATS;
ֹ;05B9;HEBREW POINT HOLAM;
ֺ;05BA;HEBREW POINT HOLAM HASER FOR VAV;
ֻ;05BB;HEBREW POINT QUBUTS;
ּ;05BC;HEBREW POINT DAGESH OR MAPIQ;
ֽ;05BD;HEBREW POINT METEG;
־;05BE;HEBREW PUNCTUATION MAQAF;
ֿ;05BF;HEBREW POINT RAFE;
׀;05C0;HEBREW PUNCTUATION PASEQ;
ׁ;05C1;HEBREW POINT SHIN DOT;
ׂ;05C2;HEBREW POINT SIN DOT;
׃;05C3;HEBREW PUNCTUATION SOF PASUQ;
ׄ;05C4;HEBREW MARK UPPER DOT;
ׅ;05C5;HEBREW MARK LOWER DOT;
׆;05C6;HEBREW PUNCTUATION NUN HAFUKHA;
ׇ;05C7;HEBREW POINT QAMATS QATAN;
א;05D0;HEBREW LETTER ALEF;
ב;05D1;HEBREW LETTER BET;
ג;05D2;HEBREW LETTER GIMEL;
ד;05D3;HEBREW LETTER DALET;
ה;05D4;HEBREW LETTER HE;
ו;05D5;HEBREW LETTER VAV;
ז;05D6;HEBREW LETTER ZAYIN;
ח;05D7;HEBREW LETTER HET;
ט;05D8;HEBREW LETTER TET;
י;05D9;HEBREW LETTER YOD;
ך;05DA;HEBREW LETTER FINAL KAF;
כ;05DB;HEBREW LETTER KAF;
ל;05DC;HEBREW LETTER LAMED;
ם;05DD;HEBREW LETTER FINAL MEM;
מ;05DE;HEBREW LETTER MEM;
ן;05DF;HEBREW LETTER FINAL NUN;
נ;05E0;HEBREW LETTER NUN;
ס;05E1;HEBREW LETTER SAMEKH;
ע;05E2;HEBREW LETTER AYIN;
ף;05E3;HEBREW LETTER FINAL PE;
פ;05E4;HEBREW LETTER PE;
ץ;05E5;HEBREW LETTER FINAL TSADI;
צ;05E6;HEBREW LETTER TSADI;
ק;05E7;HEBREW LETTER QOF;
ר;05E8;HEBREW LETTER RESH;
ש;05E9;HEBREW LETTER SHIN;
ת;05EA;HEBREW LETTER TAV;
װ;05F0;HEBREW LIGATURE YIDDISH DOUBLE VAV;
ױ;05F1;HEBREW LIGATURE YIDDISH VAV YOD;
ײ;05F2;HEBREW LIGATURE YIDDISH DOUBLE YOD;
׳;05F3;HEBREW PUNCTUATION GERESH;
״;05F4;HEBREW PUNCTUATION GERSHAYIM;
