⅐;2150;VULGAR FRACTION ONE SEVENTH;
⅑;2151;VULGAR FRACTION ONE NINTH;
⅒;2152;VULGAR FRACTION ONE TENTH;
⅓;2153;VULGAR FRACTION ONE THIRD;
⅔;2154;VULGAR FRACTION TWO THIRDS;
⅕;2155;VULGAR FRACTION ONE FIFTH;
⅖;2156;VULGAR FRACTION TWO FIFTHS;
⅗;2157;VULGAR FRACTION THREE FIFTHS;
⅘;2158;VULGAR FRACTION FOUR FIFTHS;
⅙;2159;VULGAR FRACTION ONE SIXTH;
⅚;215A;VULGAR FRACTION FIVE SIXTHS;
⅛;215B;VULGAR FRACTION ONE EIGHTH;
⅜;215C;VULGAR FRACTION THREE EIGHTHS;
⅝;215D;VULGAR FRACTION FIVE EIGHTHS;
⅞;215E;VULGAR FRACTION SEVEN EIGHTHS;
⅟;215F;FRACTION NUMERATOR ONE;
Ⅰ;2160;ROMAN NUMERAL ONE;
Ⅱ;2161;ROMAN NUMERAL TWO;
Ⅲ;2162;ROMAN NUMERAL THREE;
Ⅳ;2163;ROMAN NUMERAL FOUR;
Ⅴ;2164;ROMAN NUMERAL FIVE;
Ⅵ;2165;ROMAN NUMERAL SIX;
Ⅶ;2166;ROMAN NUMERAL SEVEN;
Ⅷ;2167;ROMAN NUMERAL EIGHT;
Ⅸ;2168;ROMAN NUMERAL NINE;
Ⅹ;2169;ROMAN NUMERAL TEN;
Ⅺ;216A;ROMAN NUMERAL ELEVEN;
Ⅻ;216B;ROMAN NUMERAL TWELVE;
Ⅼ;216C;ROMAN NUMERAL FIFTY;
Ⅽ;216D;ROMAN NUMERAL ONE HUNDRED;
Ⅾ;216E;ROMAN NUMERAL FIVE HUNDRED;
Ⅿ;216F;ROMAN NUMERAL ONE THOUSAND;
ⅰ;2170;SMALL ROMAN NUMERAL ONE;
ⅱ;2171;SMALL ROMAN NUMERAL TWO;
ⅲ;2172;SMALL ROMAN NUMERAL THREE;
ⅳ;2173;SMALL ROMAN NUMERAL FOUR;
ⅴ;2174;SMALL ROMAN NUMERAL FIVE;
ⅵ;2175;SMALL ROMAN NUMERAL SIX;
ⅶ;2176;SMALL ROMAN NUMERAL SEVEN;
ⅷ;2177;SMALL ROMAN NUMERAL EIGHT;
ⅸ;2178;SMALL ROMAN NUMERAL NINE;
ⅹ;2179;SMALL ROMAN NUMERAL TEN;
ⅺ;217A;SMALL ROMAN NUMERAL ELEVEN;
ⅻ;217B;SMALL ROMAN NUMERAL TWELVE;
ⅼ;217C;SMALL ROMAN NUMERAL FIFTY;
ⅽ;217D;SMALL ROMAN NUMERAL ONE HUNDRED;
ⅾ;217E;SMALL ROMAN NUMERAL FIVE HUNDRED;
ⅿ;217F;SMALL ROMAN NUMERAL ONE THOUSAND;
ↀ;2180;ROMAN NUMERAL ONE THOUSAND C D;
ↁ;2181;ROMAN NUMERAL FIVE THOUSAND;
ↂ;2182;ROMAN NUMERAL TEN THOUSAND;
Ↄ;2183;ROMAN NUMERAL REVERSED ONE HUNDRED;
ↄ;2184;LATIN SMALL LETTER REVERSED C;
ↅ;2185;ROMAN NUMERAL SIX LATE FORM;
ↆ;2186;ROMAN NUMERAL FIFTY EARLY FORM;
ↇ;2187;ROMAN NUMERAL FIFTY THOUSAND;
ↈ;2188;ROMAN NUMERAL ONE HUNDRED THOUSAND;
↉;2189;VULGAR FRACTION ZERO THIRDS;
∀;2200;FOR ALL;
∁;2201;COMPLEMENT;
∂;2202;PARTIAL DIFFERENTIAL;
∃;2203;THERE EXISTS;
∄;2204;THERE DOES NOT EXIST;
∅;2205;EMPTY SET;
∆;2206;INCREMENT;
∇;2207;NABLA;
∈;2208;ELEMENT OF;
∉;2209;NOT AN ELEMENT OF;
∊;220A;SMALL ELEMENT OF;
∋;220B;CONTAINS AS MEMBER;
∌;220C;DOES NOT CONTAIN AS MEMBER;
∍;220D;SMALL CONTAINS AS MEMBER;
∎;220E;END OF PROOF;
∏;220F;N-ARY PRODUCT;
∐;2210;N-ARY COPRODUCT;
∑;2211;N-ARY SUMMATION;
−;2212;MINUS SIGN;
∓;2213;MINUS-OR-PLUS SIGN;
∔;2214;DOT PLUS;
∕;2215;DIVISION SLASH;
∖;2216;SET MINUS;
∗;2217;ASTERISK OPERATOR;
∘;2218;RING OPERATOR;
∙;2219;BULLET OPERATOR;
√;221A;SQUARE ROOT;
∛;221B;CUBE ROOT;
∜;221C;FOURTH ROOT;
∝;221D;PROPORTIONAL TO;
∞;221E;INFINITY;
∟;221F;RIGHT ANGLE;
∠;2220;ANGLE;
∡;2221;MEASURED ANGLE;
∢;2222;SPHERICAL ANGLE;
∣;2223;DIVIDES;
∤;2224;DOES NOT DIVIDE;
∥;2225;PARALLEL TO;
∦;2226;NOT PARALLEL TO;
∧;2227;LOGICAL AND;
∨;2228;LOGICAL OR;
∩;2229;INTERSECTION;
∪;222A;UNION;
∫;222B;INTEGRAL;
∬;222C;DOUBLE INTEGRAL;
∭;222D;TRIPLE INTEGRAL;
∮;222E;CONTOUR INTEGRAL;
∯;222F;SURFACE INTEGRAL;
∰;2230;VOLUME INTEGRAL;
∱;2231;CLOCKWISE INTEGRAL;
∲;2232;CLOCKWISE CONTOUR INTEGRAL;
∳;2233;ANTICLOCKWISE CONTOUR INTEGRAL;
∴;2234;THEREFORE;
∵;2235;BECAUSE;
∶;2236;RATIO;
∷;2237;PROPORTION;
∸;2238;DOT MINUS;
∹;2239;EXCESS;
∺;223A;GEOMETRIC PROPORTION;
∻;223B;HOMOTHETIC;
∼;223C;TILDE OPERATOR;
∽;223D;REVERSED TILDE;
∾;223E;INVERTED LAZY S;
∿;223F;SINE WAVE;
≀;2240;WREATH PRODUCT;
≁;2241;NOT TILDE;
≂;2242;MINUS TILDE;
≃;2243;ASYMPTOTICALLY EQUAL TO;
≄;2244;NOT ASYMPTOTICALLY EQUAL TO;
≅;2245;APPROXIMATELY EQUAL TO;
≆;2246;APPROXIMATELY BUT NOT ACTUALLY EQUAL TO;
≇;2247;NEITHER APPROXIMATELY NOR ACTUALLY EQUAL TO;
≈;2248;ALMOST EQUAL TO;
≉;2249;NOT ALMOST EQUAL TO;
≊;224A;ALMOST EQUAL OR EQUAL TO;
≋;224B;TRIPLE TILDE;
≌;224C;ALL EQUAL TO;
≍;224D;EQUIVALENT TO;
≎;224E;GEOMETRICALLY EQUIVALENT TO;
≏;224F;DIFFERENCE BETWEEN;
≐;2250;APPROACHES THE LIMIT;
≑;2251;GEOMETRICALLY EQUAL TO;
≒;2252;APPROXIMATELY EQUAL TO OR THE IMAGE OF;
≓;2253;IMAGE OF OR APPROXIMATELY EQUAL TO;
≔;2254;COLON EQUALS;
≕;2255;EQUALS COLON;
≖;2256;RING IN EQUAL TO;
≗;2257;RING EQUAL TO;
≘;2258;CORRESPONDS TO;
≙;2259;ESTIMATES;
≚;225A;EQUIANGULAR TO;
≛;225B;STAR EQUALS;
≜;225C;DELTA EQUAL TO;
≝;225D;EQUAL TO BY DEFINITION;
≞;225E;MEASURED BY;
≟;225F;QUESTIONED EQUAL TO;
≠;2260;NOT EQUAL TO;
≡;2261;IDENTICAL TO;
≢;2262;NOT IDENTICAL TO;
≣;2263;STRICTLY EQUIVALENT TO;
≤;2264;LESS-THAN OR EQUAL TO;
≥;2265;GREATER-THAN OR EQUAL TO;
≦;2266;LESS-THAN OVER EQUAL TO;
≧;2267;GREATER-THAN OVER EQUAL TO;
≨;2268;LESS-THAN BUT NOT EQUAL TO;
≩;2269;GREATER-THAN BUT NOT EQUAL TO;
≪;226A;MUCH LESS-THAN;
≫;226B;MUCH GREATER-THAN;
≬;226C;BETWEEN;
≭;226D;NOT EQUIVALENT TO;
≮;226E;NOT LESS-THAN;
≯;226F;NOT GREATER-THAN;
≰;2270;NEITHER LESS-THAN NOR EQUAL TO;
≱;2271;NEITHER GREATER-THAN NOR EQUAL TO;
≲;2272;LESS-THAN OR EQUIVALENT TO;
≳;2273;GREATER-THAN OR EQUIVALENT TO;
≴;2274;NEITHER LESS-THAN NOR EQUIVALENT TO;
≵;2275;NEITHER GREATER-THAN NOR EQUIVALENT TO;
≶;2276;LESS-THAN OR GREATER-THAN;
≷;2277;GREATER-THAN OR LESS-THAN;
≸;2278;NEITHER LESS-THAN NOR GREATER-THAN;
≹;2279;NEITHER GREATER-THAN NOR LESS-THAN;
≺;227A;PRECEDES;
≻;227B;SUCCEEDS;
≼;227C;PRECEDES OR EQUAL TO;
≽;227D;SUCCEEDS OR EQUAL TO;
≾;227E;PRECEDES OR EQUIVALENT TO;
≿;227F;SUCCEEDS OR EQUIVALENT TO;
⊀;2280;DOES NOT PRECEDE;
⊁;2281;DOES NOT SUCCEED;
⊂;2282;SUBSET OF;
⊃;2283;SUPERSET OF;
⊄;2284;NOT A SUBSET OF;
⊅;2285;NOT A SUPERSET OF;
⊆;2286;SUBSET OF OR EQUAL TO;
⊇;2287;SUPERSET OF OR EQUAL TO;
⊈;2288;NEITHER A SUBSET OF NOR EQUAL TO;
⊉;2289;NEITHER A SUPERSET OF NOR EQUAL TO;
⊊;228A;SUBSET OF WITH NOT EQUAL TO;
⊋;228B;SUPERSET OF WITH NOT EQUAL TO;
⊌;228C;MULTISET;
⊍;228D;MULTISET MULTIPLICATION;
⊎;228E;MULTISET UNION;
⊏;228F;SQUARE IMAGE OF;
⊐;2290;SQUARE ORIGINAL OF;
⊑;2291;SQUARE IMAGE OF OR EQUAL TO;
⊒;2292;SQUARE ORIGINAL OF OR EQUAL TO;
⊓;2293;SQUARE CAP;
⊔;2294;SQUARE CUP;
⊕;2295;CIRCLED PLUS;
⊖;2296;CIRCLED MINUS;
⊗;2297;CIRCLED TIMES;
⊘;2298;CIRCLED DIVISION SLASH;
⊙;2299;CIRCLED DOT OPERATOR;
⊚;229A;CIRCLED RING OPERATOR;
⊛;229B;CIRCLED ASTERISK OPERATOR;
⊜;229C;CIRCLED EQUALS;
