‐;2010;HYPHEN;
‑;2011;NON-BREAKING HYPHEN;
‒;2012;FIGURE DASH;
–;2013;EN DASH;
—;2014;EM DASH;
―;2015;HORIZONTAL BAR;
‖;2016;DOUBLE VERTICAL LINE;
‗;2017;DOUBLE LOW LINE;
‘;2018;LEFT SINGLE QUOTATION MARK;
’;2019;RIGHT SINGLE QUOTATION MARK;
‚;201A;SINGLE LOW-9 QUOTATION MARK;
‛;201B;SINGLE HIGH-REVERSED-9 QUOTATION MARK;
“;201C;LEFT DOUBLE QUOTATION MARK;
”;201D;RIGHT DOUBLE QUOTATION MARK;
„;201E;DOUBLE LOW-9 QUOTATION MARK;
‟;201F;DOUBLE HIGH-REVERSED-9 QUOTATION MARK;
†;2020;DAGGER;
‡;2021;DOUBLE DAGGER;
•;2022;BULLET;
‣;2023;TRIANGULAR BULLET;
․;2024;ONE DOT LEADER;
‥;2025;TWO DOT LEADER;
…;2026;HORIZONTAL ELLIPSIS;
‧;2027;HYPHENATION POINT;
 ;2028;LINE SEPARATOR;
 ;2029;PARAGRAPH SEPARATOR;
‪;202A;LEFT-TO-RIGHT EMBEDDING;
‫;202B;RIGHT-TO-LEFT EMBEDDING;
‬;202C;POP DIRECTIONAL FORMATTING;
‭;202D;LEFT-TO-RIGHT OVERRIDE;
‮;202E;RIGHT-TO-LEFT OVERRIDE;
 ;202F;NARROW NO-BREAK SPACE;
‰;2030;PER MILLE SIGN;
‱;2031;PER TEN THOUSAND SIGN;
′;2032;PRIME;
″;2033;DOUBLE PRIME;
‴;2034;TRIPLE PRIME;
‵;2035;REVERSED PRIME;
‶;2036;REVERSED DOUBLE PRIME;
‷;2037;REVERSED TRIPLE PRIME;
‸;2038;CARET;
‹;2039;SINGLE LEFT-POINTING ANGLE QUOTATION MARK;
›;203A;SINGLE RIGHT-POINTING ANGLE QUOTATION MARK;
※;203B;REFERENCE MARK;
‼;203C;DOUBLE EXCLAMATION MARK;
‽;203D;INTERROBANG;
‾;203E;OVERLINE;
‿;203F;UNDERTIE;
⁀;2040;CHARACTER TIE;
⁁;2041;CARET INSERTION POINT;
⁂;2042;ASTERISM;
⁃;2043;HYPHEN BULLET;
⁄;2044;FRACTION SLASH;
⁅;2045;LEFT SQUARE BRACKET WITH QUILL;
⁆;2046;RIGHT SQUARE BRACKET WITH QUILL;
⁇;2047;DOUBLE QUESTION MARK;
⁈;2048;QUESTION EXCLAMATION MARK;
⁉;2049;EXCLAMATION QUESTION MARK;
⁊;204A;TIRONIAN SIGN ET;
⁋;204B;REVERSED PILCROW SIGN;
⁌;204C;BLACK LEFTWARDS BULLET;
⁍;204D;BLACK RIGHTWARDS BULLET;
⁎;204E;LOW ASTERISK;
⁏;204F;REVERSED SEMICOLON;
⁐;2050;CLOSE UP;
⁑;2051;TWO ASTERISKS ALIGNED VERTICALLY;
⁒;2052;COMMERCIAL MINUS SIGN;
⁓;2053;SWUNG DASH;
⁔;2054;INVERTED UNDERTIE;
⁕;2055;FLOWER PUNCTUATION MARK;
⁖;2056;THREE DOT PUNCTUATION;
⁗;2057;QUADRUPLE PRIME;
⁘;2058;FOUR DOT PUNCTUATION;
⁙;2059;FIVE DOT PUNCTUATION;
⁚;205A;TWO DOT PUNCTUATION;
⁛;205B;FOUR DOT MARK;
⁜;205C;DOTTED CROSS;
⁝;205D;TRICOLON;
⁞;205E;VERTICAL FOUR DOTS;
 ;205F;MEDIUM MATHEMATICAL SPACE;
⁠;2060;WORD JOINER;
⁡;2061;FUNCTION APPLICATION;
⁢;2062;INVISIBLE TIMES;
⁣;2063;INVISIBLE SEPARATOR;
⁤;2064;INVISIBLE PLUS;
⁦;2066;LEFT-TO-RIGHT ISOLATE;
⁧;2067;RIGHT-TO-LEFT ISOLATE;
⁨;2068;FIRST STRONG ISOLATE;
⁩;2069;POP DIRECTIONAL ISOLATE;
⁪;206A;INHIBIT SYMMETRIC SWAPPING;
⁫;206B;ACTIVATE SYMMETRIC SWAPPING;
⁬;206C;INHIBIT ARABIC FORM SHAPING;
⁭;206D;ACTIVATE ARABIC FORM SHAPING;
⁮;206E;NATIONAL DIGIT SHAPES;
⁯;206F;NOMINAL DIGIT SHAPES;
⁰;2070;SUPERSCRIPT ZERO;
ⁱ;2071;SUPERSCRIPT LATIN SMALL LETTER I;
⁴;2074;SUPERSCRIPT FOUR;
⁵;2075;SUPERSCRIPT FIVE;
⁶;2076;SUPERSCRIPT SIX;
⁷;2077;SUPERSCRIPT SEVEN;
⁸;2078;SUPERSCRIPT EIGHT;
⁹;2079;SUPERSCRIPT NINE;
⁺;207A;SUPERSCRIPT PLUS SIGN;
⁻;207B;SUPERSCRIPT MINUS;
⁼;207C;SUPERSCRIPT EQUALS SIGN;
⁽;207D;SUPERSCRIPT LEFT PARENTHESIS;
⁾;207E;SUPERSCRIPT RIGHT PARENTHESIS;
ⁿ;207F;SUPERSCRIPT LATIN SMALL LETTER N;
₀;2080;SUBSCRIPT ZERO;
₁;2081;SUBSCRIPT ONE;
₂;2082;SUBSCRIPT TWO;
₃;2083;SUBSCRIPT THREE;
₄;2084;SUBSCRIPT FOUR;
₅;2085;SUBSCRIPT FIVE;
₆;2086;SUBSCRIPT SIX;
₇;2087;SUBSCRIPT SEVEN;
₈;2088;SUBSCRIPT EIGHT;
₉;2089;SUBSCRIPT NINE;
₊;208A;SUBSCRIPT PLUS SIGN;
₋;208B;SUBSCRIPT MINUS;
₌;208C;SUBSCRIPT EQUALS SIGN;
₍;208D;SUBSCRIPT LEFT PARENTHESIS;
₎;208E;SUBSCRIPT RIGHT PARENTHESIS;
ₐ;2090;LATIN SUBSCRIPT SMALL LETTER A;
ₑ;2091;LATIN SUBSCRIPT SMALL LETTER E;
ₒ;2092;LATIN SUBSCRIPT SMALL LETTER O;
