⺀;2E80;CJK RADICAL REPEAT;
⺁;2E81;CJK RADICAL CLIFF;
⺂;2E82;CJK RADICAL SECOND ONE;
⺃;2E83;CJK RADICAL SECOND TWO;
⺄;2E84;CJK RADICAL SECOND THREE;
⺅;2E85;CJK RADICAL PERSON;
⺆;2E86;CJK RADICAL BOX;
⺇;2E87;CJK RADICAL TABLE;
⺈;2E88;CJK RADICAL KNIFE ONE;
⺉;2E89;CJK RADICAL KNIFE TWO;
⺊;2E8A;CJK RADICAL DIVINATION;
⺋;2E8B;CJK RADICAL SEAL;
⺌;2E8C;CJK RADICAL SMALL ONE;
⺍;2E8D;CJK RADICAL SMALL TWO;
⺎;2E8E;CJK RADICAL LAME ONE;
⺏;2E8F;CJK RADICAL LAME TWO;
⺐;2E90;CJK RADICAL LAME THREE;
⺑;2E91;CJK RADICAL LAME FOUR;
⺒;2E92;CJK RADICAL SNAKE;
⺓;2E93;CJK RADICAL THREAD;
⺔;2E94;CJK RADICAL SNOUT ONE;
⺕;2E95;CJK RADICAL SNOUT TWO;
⺖;2E96;CJK RADICAL HEART ONE;
⺗;2E97;CJK RADICAL HEART TWO;
⺘;2E98;CJK RADICAL HAND;
⺙;2E99;CJK RADICAL RAP;
⺛;2E9B;CJK RADICAL CHOKE;
⺜;2E9C;CJK RADICAL SUN;
⺝;2E9D;CJK RADICAL MOON;
⺞;2E9E;CJK RADICAL DEATH;
⺟;2E9F;CJK RADICAL MOTHER;
⺠;2EA0;CJK RADICAL CIVILIAN;
⺡;2EA1;CJK RADICAL WATER ONE;
⺢;2EA2;CJK RADICAL WATER TWO;
⺣;2EA3;CJK RADICAL FIRE;
⺤;2EA4;CJK RADICAL PAW ONE;
⺥;2EA5;CJK RADICAL PAW TWO;
⺦;2EA6;CJK RADICAL SIMPLIFIED HALF TREE TRUNK;
⺧;2EA7;CJK RADICAL COW;
⺨;2EA8;CJK RADICAL DOG;
⺩;2EA9;CJK RADICAL JADE;
⺪;2EAA;CJK RADICAL BOLT OF CLOTH;
⺫;2EAB;CJK RADICAL EYE;
⺬;2EAC;CJK RADICAL SPIRIT ONE;
⺭;2EAD;CJK RADICAL SPIRIT TWO;
⺮;2EAE;CJK RADICAL BAMBOO;
⺯;2EAF;CJK RADICAL SILK;
⺰;2EB0;CJK RADICAL C-SIMPLIFIED SILK;
⺱;2EB1;CJK RADICAL NET ONE;
⺲;2EB2;CJK RADICAL NET TWO;
⺳;2EB3;CJK RADICAL NET THREE;
⺴;2EB4;CJK RADICAL NET FOUR;
⺵;2EB5;CJK RADICAL MESH;
⺶;2EB6;CJK RADICAL SHEEP;
⺷;2EB7;CJK RADICAL RAM;
⺸;2EB8;CJK RADICAL EWE;
⺹;2EB9;CJK RADICAL OLD;
⺺;2EBA;CJK RADICAL BRUSH ONE;
⺻;2EBB;CJK RADICAL BRUSH TWO;
⺼;2EBC;CJK RADICAL MEAT;
⺽;2EBD;CJK RADICAL MORTAR;
⺾;2EBE;CJK RADICAL GRASS ONE;
⺿;2EBF;CJK RADICAL GRASS TWO;
⻀;2EC0;CJK RADICAL GRASS THREE;
⻁;2EC1;CJK RADICAL TIGER;
⻂;2EC2;CJK RADICAL CLOTHES;
⻃;2EC3;CJK RADICAL WEST ONE;
⻄;2EC4;CJK RADICAL WEST TWO;
⻅;2EC5;CJK RADICAL C-SIMPLIFIED SEE;
⻆;2EC6;CJK RADICAL SIMPLIFIED HORN;
⻇;2EC7;CJK RADICAL HORN;
⻈;2EC8;CJK RADICAL C-SIMPLIFIED SPEECH;
⻉;2EC9;CJK RADICAL C-SIMPLIFIED SHELL;
⻊;2ECA;CJK RADICAL FOOT;
⻋;2ECB;CJK RADICAL C-SIMPLIFIED CART;
⻌;2ECC;CJK RADICAL SIMPLIFIED WALK;
⻍;2ECD;CJK RADICAL WALK ONE;
⻎;2ECE;CJK RADICAL WALK TWO;
⻏;2ECF;CJK RADICAL CITY;
⻐;2ED0;CJK RADICAL C-SIMPLIFIED GOLD;
