ก;0E01;THAI CHARACTER KO KAI;
ข;0E02;THAI CHARACTER KHO KHAI;
ฃ;0E03;THAI CHARACTER KHO KHUAT;
ค;0E04;THAI CHARACTER KHO KHWAI;
ฅ;0E05;THAI CHARACTER KHO KHON;
ฆ;0E06;THAI CHARACTER KHO RAKHANG;
ง;0E07;THAI CHARACTER NGO NGU;
จ;0E08;THAI CHARACTER CHO CHAN;
ฉ;0E09;THAI CHARACTER CHO CHING;
ช;0E0A;THAI CHARACTER CHO CHANG;
ซ;0E0B;THAI CHARACTER SO SO;
ฌ;0E0C;THAI CHARACTER CHO CHOE;
ญ;0E0D;THAI CHARACTER YO YING;
ฎ;0E0E;THAI CHARACTER DO CHADA;
ฏ;0E0F;THAI CHARACTER TO PATAK;
ฐ;0E10;THAI CHARACTER THO THAN;
ฑ;0E11;THAI CHARACTER THO NANGMONTHO;
ฒ;0E12;THAI CHARACTER THO PHUTHAO;
ณ;0E13;THAI CHARACTER NO NEN;
ด;0E14;THAI CHARACTER DO DEK;
ต;0E15;THAI CHARACTER TO TAO;
ถ;0E16;THAI CHARACTER THO THUNG;
ท;0E17;THAI CHARACTER THO THAHAN;
ธ;0E18;THAI CHARACTER THO THONG;
น;0E19;THAI CHARACTER NO NU;
บ;0E1A;THAI CHARACTER BO BAIMAI;
ป;0E1B;THAI CHARACTER PO PLA;
ผ;0E1C;THAI CHARACTER PHO PHUNG;
ฝ;0E1D;THAI CHARACTER FO FA;
พ;0E1E;THAI CHARACTER PHO PHAN;
ฟ;0E1F;THAI CHARACTER FO FAN;
ภ;0E20;THAI CHARACTER PHO SAMPHAO;
ม;0E21;THAI CHARACTER MO MA;
ย;0E22;THAI CHARACTER YO YAK;
ร;0E23;THAI CHARACTER RO RUA;
ฤ;0E24;THAI CHARACTER RU;
ล;0E25;THAI CHARACTER LO LING;
ฦ;0E26;THAI CHARACTER LU;
ว;0E27;THAI CHARACTER WO WAEN;
ศ;0E28;THAI CHARACTER SO SALA;
ษ;0E29;THAI CHARACTER SO RUSI;
ส;0E2A;THAI CHARACTER SO SUA;
ห;0E2B;THAI CHARACTER HO HIP;
ฬ;0E2C;THAI CHARACTER LO CHULA;
อ;0E2D;THAI CHARACTER O ANG;
ฮ;0E2E;THAI CHARACTER HO NOKHUK;
ฯ;0E2F;THAI CHARACTER PAIYANNOI;
ะ;0E30;THAI CHARACTER SARA A;
ั;0E31;THAI CHARACTER MAI HAN-AKAT;
า;0E32;THAI CHARACTER SARA AA;
ำ;0E33;THAI CHARACTER SARA AM;
ิ;0E34;THAI CHARACTER SARA I;
ี;0E35;THAI CHARACTER SARA II;
ึ;0E36;THAI CHARACTER SARA UE;
ื;0E37;THAI CHARACTER SARA UEE;
ุ;0E38;THAI CHARACTER SARA U;
ู;0E39;THAI CHARACTER SARA UU;
ฺ;0E3A;THAI CHARACTER PHINTHU;
฿;0E3F;THAI CURRENCY SYMBOL BAHT;
เ;0E40;THAI CHARACTER SARA E;
แ;0E41;THAI CHARACTER SARA AE;
โ;0E42;THAI CHARACTER SARA O;
ใ;0E43;THAI CHARACTER SARA AI MAIMUAN;
ไ;0E44;THAI CHARACTER SARA AI MAIMALAI;
ๅ;0E45;THAI CHARACTER LAKKHANGYAO;
ๆ;0E46;THAI CHARACTER MAIYAMOK;
็;0E47;THAI CHARACTER MAITAIKHU;
่;0E48;THAI CHARACTER MAI EK;
้;0E49;THAI CHARACTER MAI THO;
๊;0E4A;THAI CHARACTER MAI TRI;
๋;0E4B;THAI CHARACTER MAI CHATTAWA;
์;0E4C;THAI CHARACTER THANTHAKHAT;
ํ;0E4D;THAI CHARACTER NIKHAHIT;
๎;0E4E;THAI CHARACTER YAMAKKAN;
๏;0E4F;THAI CHARACTER FONGMAN;
๐;0E50;THAI DIGIT ZERO;
๑;0E51;THAI DIGIT ONE;
๒;0E52;THAI DIGIT TWO;
๓;0E53;THAI DIGIT THREE;
๔;0E54;THAI DIGIT FOUR;
๕;0E55;THAI DIGIT FIVE;
๖;0E56;THAI DIGIT SIX;
๗;0E57;THAI DIGIT SEVEN;
๘;0E58;THAI DIGIT EIGHT;
๙;0E59;THAI DIGIT NINE;
๚;0E5A;THAI CHARACTER ANGKHANKHU;
๛;0E5B;THAI CHARACTER KHOMUT;
